Date;Price;Open;High;Low;Vol.;Change %
10-Apr-22;0.00002550;0.00002460;0.00002992;0.00002190;87,706.60B;3.66%
03-Apr-22;0.00002460;0.00002578;0.00002843;0.00002352;49,160.12B;-4.58%
27-Mar-22;0.00002578;0.00002441;0.00002958;0.00002415;82,440.45B;5.61%
20-Mar-22;0.00002441;0.00002415;0.00002533;0.00002234;59,721.96B;1.08%
13-Mar-22;0.00002415;0.00002213;0.00002551;0.00002121;2,278.48B;9.13%
06-Mar-22;0.00002213;0.00002461;0.00002476;0.00002189;2,898.83B;-10.08%
27-Feb-22;0.00002461;0.00002444;0.00002841;0.00002286;57,963.81B;0.70%
20-Feb-22;0.00002444;0.00002749;0.00002760;0.00002080;113,121.86B;-11.09%
13-Feb-22;0.00002749;0.00002914;0.00003248;0.00002710;78,929.50B;-5.40%
06-Feb-22;0.00002906;0.00002250;0.00003517;0.00002225;156,304.85B;29.10%
30-Jan-22;0.00002251;0.00002166;0.00002385;0.00002008;37,146.17B;3.92%
23-Jan-22;0.00002166;0.00002053;0.00002355;0.00001873;91,045.77B;5.50%
16-Jan-22;0.00002053;0.00003084;0.00003101;0.00001714;60,267.68B;-33.43%
09-Jan-22;0.00003084;0.00002773;0.00003274;0.00002555;72,565.13B;11.22%
02-Jan-22;0.00002773;0.00003415;0.00003444;0.00002644;52,151.71B;-18.80%
26-Dec-21;0.00003415;0.00003771;0.00003944;0.00003266;61,354.29B;-9.49%
19-Dec-21;0.00003773;0.00003141;0.00003986;0.00002830;97,102.29B;20.12%
12-Dec-21;0.00003141;0.00003441;0.00003762;0.00003021;76,686.36B;-8.56%
05-Dec-21;0.00003435;0.00003649;0.00003872;0.00003286;98,786.71B;-5.94%
28-Nov-21;0.00003652;0.00003923;0.00005408;0.00002995;206,485.90B;-6.96%
21-Nov-21;0.00003925;0.00004767;0.00004784;0.00003588;184,190.88B;-17.66%
14-Nov-21;0.00004767;0.00005168;0.00005615;0.00004058;160,002.23B;-7.76%
07-Nov-21;0.00005168;0.00005856;0.00005956;0.00004603;167,351.34B;-11.75%
31-Oct-21;0.00005856;0.00006545;0.00007489;0.00004323;370,870.56B;-10.50%
24-Oct-21;0.00006543;0.00003385;0.00008841;0.00003356;766,562.68B;93.29%
17-Oct-21;0.00003385;0.00002569;0.00003455;0.00002380;146,278.03B;31.76%
10-Oct-21;0.00002569;0.00002666;0.00003200;0.00002341;346,941.96B;-3.64%
03-Oct-21;0.00002666;0.00000788;0.00003512;0.00000768;1,270,839.89B;237.90%
26-Sep-21;0.00000789;0.00000731;0.00000824;0.00000682;-;7.79%
19-Sep-21;0.00000732;0.00000782;0.00000838;0.00000660;-;-6.63%
12-Sep-21;0.00000784;0.00000678;0.00000947;0.00000619;-;15.81%
05-Sep-21;0.00000677;0.00000745;0.00000817;0.00000513;-;-9.13%
29-Aug-21;0.00000745;0.00000722;0.00000767;0.00000654;-;3.19%
22-Aug-21;0.00000722;0.00000813;0.00000843;0.00000683;-;-11.19%
15-Aug-21;0.00000813;0.00000814;0.00000947;0.00000777;-;0.00%
08-Aug-21;0.00000813;0.00000782;0.00000886;0.00000710;-;4.23%
01-Aug-21;0.00000780;0.00000625;0.00000789;0.00000611;-;24.80%
25-Jul-21;0.00000625;0.00000645;0.00000691;0.00000605;-;-3.40%
18-Jul-21;0.00000647;0.00000681;0.00000701;0.00000571;-;-4.71%
11-Jul-21;0.00000679;0.00000766;0.00000799;0.00000656;-;-11.59%
04-Jul-21;0.00000768;0.00000880;0.00000908;0.00000752;-;-11.93%
27-Jun-21;0.00000872;0.00000749;0.00000924;0.00000729;-;16.42%
20-Jun-21;0.00000749;0.00000762;0.00000790;0.00000600;-;-1.71%
13-Jun-21;0.00000762;0.00000628;0.00000909;0.00000616;-;21.53%
06-Jun-21;0.00000627;0.00000841;0.00000867;0.00000571;-;-25.62%
30-May-21;0.00000843;0.00000791;0.00001002;0.00000765;-;6.84%
23-May-21;0.00000789;0.00000832;0.00001177;0.00000734;-;-5.62%
16-May-21;0.00000836;0.00001553;0.00001744;0.00000689;-;-46.17%
